Date,Lats,Lons,Group,Validation
2022-06-27,-3.565682,-60.294407,-3998.0,1.0
2022-06-27,-3.566325,-60.294407,-3998.0,1.0
2022-06-27,-3.560371,-60.302647,-3998.0,1.0
2022-06-27,-3.561185,-60.305608,-3998.0,1.0
2022-06-27,-3.528846,-60.294493,-3998.0,1.0
2022-06-27,-3.515224,-60.299685,-3998.0,1.0
2022-06-27,-3.533772,-60.297926,-3998.0,1.0
2022-06-27,-3.533172,-60.294407,-3998.0,1.0
2022-06-27,-3.527175,-60.294407,-3998.0,1.0
2022-06-27,-3.552961,-60.288956,-3998.0,1.0
2022-06-27,-3.55446,-60.292561,-3998.0,1.0
2022-06-27,-3.543238,-60.286381,-3998.0,1.0
2022-06-27,-3.556859,-60.277069,-3998.0,1.0
2022-06-27,-3.548506,-60.290415,-3998.0,1.0
2022-06-27,-3.54795,-60.28003,-3998.0,1.0
2022-06-27,-3.53707,-60.284879,-3998.0,1.0
2022-06-27,-3.541155,-60.356296,-3998.0,1.0
2022-06-27,-3.553405,-60.361317,-3998.0,1.0
2022-06-27,-3.544881,-60.353077,-3998.0,1.0
2022-06-27,-3.547879,-60.351747,-3998.0,1.0
2022-06-27,-3.550835,-60.360373,-3998.0,1.0
2022-06-27,-3.487612,-60.345052,-2998.0,1.0
2022-06-27,-3.475103,-60.338743,-2998.0,1.0
2022-06-27,-3.499691,-60.32707,-3998.0,1.0
2022-06-27,-3.491039,-60.307801,-3998.0,1.0
2022-06-27,-3.568951,-60.182754,-3998.0,1.0
2022-06-27,-3.564111,-60.184599,-3998.0,1.0
2022-06-27,-3.563383,-60.183612,-3998.0,1.0
2022-06-27,-3.526718,-60.140439,-3998.0,1.0
2022-06-27,-3.526803,-60.143314,-3998.0,1.0
2022-06-27,-3.532243,-60.143443,-3998.0,1.0
2022-06-27,-3.524362,-60.142842,-3998.0,1.0
2022-06-27,-3.529887,-60.143528,-3998.0,1.0
2022-06-27,-3.53113,-60.138379,-3998.0,1.0
2022-06-27,-3.528303,-60.143142,-3998.0,1.0
2022-06-27,-3.50646,-60.251373,-3998.0,1.0
2022-06-27,-3.507102,-60.247296,-3998.0,1.0
2022-06-27,-3.516911,-60.260772,-3998.0,1.0
2022-06-27,-3.506074,-60.253991,-3998.0,1.0
2022-06-27,-3.506245,-60.258326,-3998.0,1.0
2022-06-27,-3.539228,-60.221032,-3998.0,1.0
2022-06-27,-3.5382,-60.221032,-3998.0,1.0
2022-06-27,-3.530704,-60.228542,-3998.0,1.0
2022-06-27,-3.527791,-60.231718,-3998.0,1.0
2022-06-27,-3.528434,-60.233992,-3998.0,1.0
2022-06-27,-3.536101,-60.222191,-3998.0,1.0
2022-06-27,-3.497035,-60.23013,-2998.0,1.0
2022-06-27,-3.590857,-60.322318,-3998.0,1.0
2022-06-27,-3.526607,-60.316696,-3998.0,1.0
2022-06-27,-3.707161,-60.268667,-3998.0,1.0
2022-06-27,-3.706348,-60.270856,-3998.0,1.0
2022-06-27,-3.500291,-60.304324,-3998.0,1.0
2022-06-27,-3.499391,-60.290119,-3998.0,1.0
2022-06-27,-3.491553,-60.305783,-3998.0,1.0
2022-06-27,-3.508644,-60.285828,-3998.0,1.0
2022-06-27,-3.509543,-60.284282,-3998.0,1.0
2022-06-27,-3.472962,-60.265786,-2998.0,0.99
2022-06-27,-3.479773,-60.263855,-2998.0,1.0
2022-06-27,-3.49892,-60.271923,-3998.0,1.0
2022-06-27,-3.417487,-60.254241,-2998.0,1.0
2022-06-27,-3.421814,-60.258876,-2998.0,1.0
2022-06-27,-3.14995,-59.171508,-2998.0,1.0
2022-06-27,-3.103669,-59.120309,-2998.0,1.0
2022-06-27,-3.113054,-59.110825,-2998.0,1.0
2022-06-27,-3.104441,-59.118077,-2998.0,1.0
2022-06-27,-3.112154,-59.110825,-2998.0,1.0
2022-06-27,-3.10337,-59.130566,-2998.0,1.0
2022-06-27,-3.125738,-59.172624,-2998.0,1.0
2022-06-27,-3.130838,-59.154985,-2998.0,1.0
2022-06-27,-3.144336,-59.164041,-2998.0,1.0
2022-06-27,-3.044018,-59.118292,-2998.0,1.0
